DEBUG 2012-03-27 18:37:04,715 [main] - Info log message at: 1332866224714 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-27 18:37:04,719 [main] - Warn log message at: 1332866224719
DEBUG 2012-03-27 18:37:04,719 [main] - Warn log message at: 1332866224719 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-27 18:37:04,722 [main] - Fatal log message at: 1332866224722
DEBUG 2012-03-27 18:37:04,722 [main] - Fatal log message at: 1332866224722 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-27 18:37:04,738 [main] - logTrace
DEBUG 2012-03-27 18:37:04,738 [main] - logDebug
INFO  2012-03-27 18:37:04,738 [main] - logInfo
WARN  2012-03-27 18:37:04,739 [main] - logWarn
ERROR 2012-03-27 18:37:04,739 [main] - logError
FATAL 2012-03-27 18:37:04,739 [main] - logFatal
